hd,jcd,rno,chaku,waku,toban,name,motorNo,boatNo,tenjiT,shinnyu,st,raceTime
260531,23,1,01,1,4450,平　高　　奈　菜,18,40,6.60,1,0.17,1.48.8
260531,23,1,02,3,3604,武　藤　　綾　子,20,43,6.64,3,0.23,1.50.8
260531,23,1,03,4,3745,橋　本　　年　光,13,57,6.64,4,0.23,1.51.6
260531,23,1,04,5,4313,西　村　　美智子,10,15,6.65,5,0.21,1.52.6
260531,23,1,05,6,4564,山　本　　景士郎,7,41,6.66,6,0.21,1.52.9
260531,23,1,06,2,5263,花　田　　凱　成,58,30,6.66,2,0.19,1.55.8
260531,23,2,01,2,3470,新　田　　芳　美,16,20,6.66,2,0.05,1.49.8
260531,23,2,02,3,4823,中　村　　桃　佳,12,16,6.66,3,0.07,1.51.0
260531,23,2,03,1,4193,郷　原　　章　平,47,54,6.68,1,0.04,1.52.3
260531,23,2,04,4,3619,長谷川　　　　充,52,21,6.72,4,0.11,1.52.8
260531,23,2,05,5,3998,冨　成　　謙　児,21,32,6.65,5,0.17,1.55.0
260531,23,2,06,6,3839,川　合　　理　司,26,34,6.79,6,0.14,1.57.4
260531,23,3,01,1,4495,森　　　　晋太郎,43,14,6.67,1,0.07,1.48.7
260531,23,3,02,3,4732,堀　本　　和　也,28,29,6.78,3,0.09,1.49.9
260531,23,3,03,2,4906,鈴　木　　雅　希,51,18,6.71,2,0.10,1.51.9
260531,23,3,04,6,4145,小　澤　　　　学,8,25,6.67,6,0.17,1.53.6
260531,23,3,05,5,3976,内　田　　　　圭,24,4,6.75,5,0.11,1.54.9
260531,23,3,06,4,5124,上　瀧　　絢　也,38,60,6.70,4,0.14,1.58.1
260531,23,4,01,2,4649,和　田　　操　拓,31,24,6.72,3,0.04,1.50.1
260531,23,4,02,4,3811,石　田　　章　央,32,55,6.71,4,0.08,1.50.9
260531,23,4,03,3,3441,土　屋　　太　朗,9,37,6.79,2,0.07,1.51.4
260531,23,4,04,1,4677,片　橋　　幸　貴,49,35,6.81,1,0.05,1.52.4
