hd,jcd,rno,chaku,waku,toban,name,motorNo,boatNo,tenjiT,shinnyu,st,raceTime
260430,24,1,01,4,4232,笠　　　　雅　雄,47,63,6.90,4,0.20,1.49.2
260430,24,1,02,2,3870,寺　嶋　　　　雄,59,72,6.91,2,0.32,1.51.6
260430,24,1,03,5,5057,上　田　　紗　奈,50,12,6.82,5,0.19,1.53.7
260430,24,1,04,1,4954,内　山　　峻　輔,18,23,6.92,1,0.33,1.54.5
260430,24,1,05,3,4744,伊　藤　　玲　奈,22,36,6.94,3,0.36,
260430,24,1,06,6,3527,中　嶋　　誠一郎,64,11,6.99,6,0.27,
260430,24,2,01,2,4839,四　宮　　与　寛,63,24,6.90,2,0.09,1.50.3
260430,24,2,02,6,5055,眞　鳥　　章　太,66,68,6.90,6,0.07,1.52.1
260430,24,2,03,5,3294,野　中　　義　生,21,59,6.88,5,0.07,1.53.6
260430,24,2,04,3,4979,中　野　　夢　斗,48,66,6.90,3,0.21,1.54.9
260430,24,2,05,4,3775,泉　　　　啓　文,26,78,6.94,4,0.16,
260430,24,2,06,1,3516,吉　原　　聖　人,34,67,6.77,1,0.18,
260430,24,3,01,2,3584,佐々木　　英　樹,46,62,6.90,2,0.13,1.51.0
260430,24,3,02,1,3703,鳥　飼　　　　眞,25,54,6.86,1,0.14,1.52.1
260430,24,3,03,3,3912,川　原　　正　明,20,27,6.79,3,0.15,1.53.7
260430,24,3,04,5,4055,吉　田　　俊　彦,71,50,6.92,5,0.30,1.54.3
260430,24,3,05,4,4431,石　塚　　裕　介,69,18,6.90,4,0.32,
260430,24,3,06,6,3461,渡　邊　　哲　也,49,17,6.94,6,0.36,
260430,24,4,01,1,4174,赤　坂　　俊　輔,24,47,6.83,1,0.15,1.51.2
260430,24,4,02,2,5079,大　石　　真　央,44,35,6.93,2,0.16,1.52.3
260430,24,4,03,4,4633,森　　　　智　也,35,61,6.93,4,0.24,1.53.2
260430,24,4,04,3,3619,長谷川　　　　充,38,25,6.94,3,0.20,1.53.4
260430,24,4,05,5,4580,長谷川　　雅　和,43,55,6.89,5,0.30,
260430,24,4,06,6,3562,山　下　　和　彦,73,19,6.90,6,0.34,
260430,24,5,01,5,4718,北　川　　太　一,29,30,6.88,3,0.12,1.50.2
260430,24,5,02,2,5128,坪　井　　爽　佑,56,22,6.88,4,0.19,1.52.3
260430,24,5,03,3,4259,真　庭　　明　志,30,75,6.88,2,0.16,1.53.5
260430,24,5,04,6,3906,飯　山　　晃　三,65,69,6.95,6,0.23,1.54.7
260430,24,5,05,4,5232,樅　山　　拓　馬,17,15,6.96,5,0.18,
260430,24,5,06,1,4983,前　田　　篤　哉,23,74,6.84,1,0.09,
260430,24,6,01,4,5236,小　宮　　涼　雅,53,57,6.91,4,0.07,1.50.0
260430,24,6,02,3,4984,森　下　　愛　梨,62,32,6.93,3,0.23,1.51.5
260430,24,6,03,1,4889,後　藤　　盛　也,32,33,6.87,1,0.21,1.52.2
260430,24,6,04,5,4744,伊　藤　　玲　奈,22,36,7.00,5,0.19,1.54.3
260430,24,6,05,6,4571,菅　　　　章　哉,13,38,6.84,6,0.16,
260430,24,6,06,2,5384,八　戸　　琉　楓,28,45,6.94,2,0.58,
260430,24,7,01,4,4594,谷　川　　祐　一,33,53,6.92,4,0.12,1.50.3
260430,24,7,02,5,4232,笠　　　　雅　雄,47,63,6.91,5,0.14,1.51.5
260430,24,7,03,1,4146,柳　橋　　宏　紀,11,70,6.85,1,0.17,1.52.8
260430,24,7,04,2,4813,宮　内　　直　哉,14,43,6.87,2,0.22,1.55.1
260430,24,7,05,3,5055,眞　鳥　　章　太,66,68,6.90,3,0.19,
260430,24,7,06,6,5395,日　高　　龍之介,74,56,6.82,6,0.54,
