hd,jcd,rno,chaku,waku,toban,name,motorNo,boatNo,tenjiT,shinnyu,st,raceTime
250831,24,1,01,1,4909,薮　内　　瑞　希,68,78,6.95,1,0.12,1.50.2
250831,24,1,02,3,4934,佐々木　　翔　斗,58,25,6.93,3,0.16,1.51.7
250831,24,1,03,2,5237,永　松　　良　教,67,53,6.99,2,0.16,1.53.2
250831,24,1,04,4,3539,金　子　　順　一,47,38,6.93,4,0.21,1.54.0
250831,24,1,05,5,3489,大　場　　　　敏,36,15,6.97,5,0.19,
250831,24,1,06,6,4314,青　木　　幸太郎,75,34,6.93,6,0.29,
250831,24,2,01,4,4352,下　條　　雄太郎,66,35,6.92,4,0.11,1.49.9
250831,24,2,02,2,4581,吉　村　　　　誠,25,52,6.89,2,0.15,1.51.8
250831,24,2,03,5,4180,上　野　　秀　和,15,54,6.94,5,0.15,1.53.4
250831,24,2,04,1,5165,小　林　　愛　実,45,70,6.94,1,0.18,1.53.9
250831,24,2,05,3,3503,堂　原　　洋　史,40,17,6.91,3,0.13,
250831,24,2,06,6,4234,野　相　　弘　司,71,56,6.99,6,0.16,
250831,24,3,01,1,4948,木　場　　悠　介,39,24,6.92,1,0.17,1.50.2
250831,24,3,02,4,4702,三　浦　　敬　太,64,50,6.94,4,0.20,1.51.8
250831,24,3,03,3,4866,橋　本　　英　一,30,39,6.93,3,0.17,1.53.0
250831,24,3,04,6,4159,向　後　　龍　一,60,77,6.98,6,0.24,1.53.7
250831,24,3,05,2,5292,佐　藤　　右　京,35,27,6.95,2,0.27,
250831,24,3,06,5,4390,松　本　　弓　雄,33,48,7.00,5,0.27,
250831,24,4,01,1,4950,高　岡　　竜　也,17,61,6.96,1,0.17,1.53.0
250831,24,4,02,2,4537,渡　邉　　和　将,46,33,6.89,2,0.16,1.54.6
250831,24,4,03,3,3602,奥　平　　拓　也,59,47,7.04,3,0.21,1.55.8
250831,24,4,04,6,4547,中　田　　竜　太,31,60,6.93,6,0.23,1.57.9
250831,24,4,05,4,3915,繁野谷　　圭　介,23,71,6.94,4,0.21,
250831,24,4,S1,5,5272,松　田　　真　実,50,26,6.92,5,0.21,
250831,24,5,01,5,4700,金　子　　和　之,52,69,7.00,5,0.06,1.49.1
250831,24,5,02,3,3546,中　里　　昌　志,18,40,7.02,3,0.07,1.51.9
250831,24,5,03,6,4112,大久保　　信一郎,63,68,6.98,6,0.11,1.52.3
250831,24,5,04,2,4598,加　藤　　政　彦,65,12,6.94,2,0.09,1.53.0
250831,24,5,05,1,3432,宮　迫　　暢　彦,53,20,6.94,1,0.05,
250831,24,5,06,4,5055,眞　鳥　　章　太,32,23,6.99,4,0.04,
250831,24,6,01,1,4812,西　野　　雄　貴,73,73,6.92,1,0.04,1.49.5
250831,24,6,02,3,3898,平　田　　忠　則,74,32,6.96,3,0.02,1.50.8
250831,24,6,03,4,5027,重　冨　　勇　哉,56,66,6.93,4,0.12,1.51.8
250831,24,6,04,5,4682,大　上　　卓　人,54,28,6.98,5,0.07,1.52.7
250831,24,6,05,2,3808,秋　田　　健太郎,44,36,7.00,2,0.04,
250831,24,6,06,6,3539,金　子　　順　一,47,38,7.00,6,0.14,
250831,24,7,01,2,4352,下　條　　雄太郎,66,35,6.88,2,0.26,1.50.2
250831,24,7,02,1,3489,大　場　　　　敏,36,15,6.89,1,0.25,1.50.9
250831,24,7,03,4,4866,橋　本　　英　一,30,39,6.93,4,0.27,1.52.3
250831,24,7,04,3,4423,坂　口　　貴　彦,34,63,6.91,3,0.31,1.53.9
250831,24,7,05,6,5117,冨名腰　　桃　奈,55,51,6.98,6,0.33,
250831,24,7,06,5,4031,飯　島　　　　誠,14,16,6.95,5,0.29,
250831,24,8,01,4,4320,峰　　　　竜　太,27,45,6.88,4,0.12,1.49.4
250831,24,8,02,2,3503,堂　原　　洋　史,40,17,6.88,2,0.07,1.51.6
250831,24,8,03,1,3797,岩　井　　　　繁,22,37,6.95,1,0.14,1.53.2
250831,24,8,04,5,4501,樋　口　　由加里,57,22,6.92,5,0.16,1.54.0
250831,24,8,05,3,4390,松　本　　弓　雄,33,48,6.94,3,0.24,
250831,24,8,06,6,5230,石　原　　凪　紗,16,64,6.87,6,0.22,
250831,24,9,01,5,4566,塩　田　　北　斗,24,13,6.85,5,0.04,1.49.8
250831,24,9,02,2,4950,高　岡　　竜　也,17,61,6.88,2,0.09,1.50.9
250831,24,9,03,6,5237,永　松　　良　教,67,53,6.94,6,0.12,1.51.7
250831,24,9,04,1,4760,山　崎　　　　郡,38,19,6.89,1,0.09,1.53.3
250831,24,9,05,3,4180,上　野　　秀　和,15,54,6.95,3,0.10,
250831,24,9,06,4,5292,佐　藤　　右　京,35,27,6.91,4,0.16,
250831,24,10,01,4,4959,井　上　　忠　政,28,58,6.86,4,0.04,1.49.8
250831,24,10,02,1,4700,金　子　　和　之,52,69,6.94,1,0.11,1.50.8
250831,24,10,03,2,4314,青　木　　幸太郎,75,34,6.98,2,0.08,1.52.3
250831,24,10,04,3,4994,山　本　　梨　菜,76,11,6.95,3,0.14,1.53.4
250831,24,10,05,6,4682,大　上　　卓　人,54,28,6.95,6,0.11,
250831,24,10,06,5,4948,木　場　　悠　介,39,24,6.94,5,0.09,
250831,24,11,01,1,3898,平　田　　忠　則,74,32,6.87,1,0.04,1.49.2
250831,24,11,02,4,4547,中　田　　竜　太,31,60,6.91,4,0.15,1.50.1
250831,24,11,03,3,5055,眞　鳥　　章　太,32,23,6.93,3,0.07,1.51.7
250831,24,11,04,5,4934,佐々木　　翔　斗,58,25,6.93,5,0.14,1.52.2
250831,24,11,05,2,4159,向　後　　龍　一,60,77,6.93,2,0.02,
250831,24,11,06,6,4581,吉　村　　　　誠,25,52,6.92,6,0.07,
250831,24,12,01,3,4320,峰　　　　竜　太,27,45,6.86,3,0.03,1.48.6
250831,24,12,02,1,4702,三　浦　　敬　太,64,50,6.91,1,0.06,1.50.4
250831,24,12,03,6,4598,加　藤　　政　彦,65,12,6.91,5,0.19,1.52.7
250831,24,12,04,5,5027,重　冨　　勇　哉,56,66,6.92,6,0.23,1.54.4
250831,24,12,05,2,4031,飯　島　　　　誠,14,16,6.96,2,0.02,
250831,24,12,06,4,5272,松　田　　真　実,50,26,6.92,4,0.16,
250831,21,1,01,1,4330,奈　須　　啓　太,43,133,6.82,1,0.14,1.49.0
250831,21,1,02,3,3910,松　下　　知　幸,29,144,6.87,3,0.22,1.51.3
250831,21,1,03,2,3807,岡　部　　　　哲,16,150,6.86,2,0.20,1.53.3
250831,21,1,04,4,4803,飯　田　　庄　吾,30,170,6.81,4,0.26,1.53.6
250831,21,1,05,6,3523,寳　田　　亮　治,48,135,6.78,6,0.22,
250831,21,1,06,5,3401,上　田　　隆　章,17,153,6.84,5,0.28,
250831,21,2,01,5,5107,松　本　　真　広,26,143,6.72,5,0.12,1.49.8
250831,21,2,02,1,4089,妹　尾　　忠　幸,56,149,6.82,1,0.17,1.51.5
250831,21,2,03,4,4643,近　江　　翔　吾,19,118,6.78,4,0.17,1.52.1
250831,21,2,04,2,4883,岡　部　　大　輝,15,141,6.79,2,0.24,1.53.9
250831,21,2,05,3,5022,伊　藤　　尚　汰,59,134,6.75,3,0.14,
250831,21,2,06,6,5395,日　高　　龍之介,53,112,6.81,6,0.19,
250831,21,3,01,1,5068,前　田　　　　滉,8,159,6.72,1,0.22,1.49.2
250831,21,3,02,3,5158,宮　脇　　遼　太,9,146,6.76,3,0.24,1.51.0
250831,21,3,03,6,4676,後　藤　　隼　之,55,152,6.82,6,0.19,1.52.9
250831,21,3,04,5,4787,椎　名　　　　豊,31,166,6.77,5,0.19,1.54.3
250831,21,3,05,2,4251,川　崎　　誠　志,35,137,6.79,2,0.31,
250831,21,3,06,4,3953,志　道　　吉　和,23,128,6.82,4,0.23,
250831,21,4,01,3,4298,宮　下　　元　胤,32,157,6.70,3,0.18,1.49.7
250831,21,4,02,1,4264,長　尾　　章　平,20,123,6.81,1,0.15,1.51.2
250831,21,4,03,2,3882,新　田　　智　彰,37,139,6.82,2,0.13,1.52.3
250831,21,4,04,5,4654,篠　田　　優　也,12,131,6.79,5,0.17,1.53.4
250831,21,4,05,4,4861,田　中　　宏　樹,50,117,6.69,4,0.21,
250831,21,4,06,6,4898,菊　地　　敬　介,49,111,6.85,6,0.23,
250831,21,5,01,1,5121,定　松　　勇　樹,36,163,6.81,1,0.09,1.57.9
250831,21,5,02,3,4610,佐　藤　　大　佑,27,115,6.79,2,0.04,2.01.9
250831,21,5,03,5,4543,重　木　　輝　彦,21,122,6.77,4,0.11,2.04.6
250831,21,5,04,2,3523,寳　田　　亮　治,48,135,6.75,5,0.29,2.06.7
250831,21,5,05,6,5369,岡　崎　　凪　汰,14,125,6.83,6,0.05,
250831,21,5,S1,4,4553,坪　口　　竜　也,51,151,6.85,3,0.07,
250831,21,6,01,1,4082,濱　崎　　　　誠,13,119,6.82,1,0.13,1.49.8
250831,21,6,02,4,4645,上　村　　純　一,54,124,6.75,4,0.17,1.50.6
250831,21,6,03,6,4544,松　田　　大志郎,25,155,6.80,6,0.24,1.52.3
250831,21,6,04,3,3909,佐々木　　康　幸,40,130,6.82,3,0.12,1.53.6
250831,21,6,05,2,4442,松　竹　　大　輔,47,161,6.78,2,0.14,
250831,21,6,06,5,3637,齋　藤　　和　政,41,116,6.84,5,0.29,
