hd,jcd,rno,chaku,waku,toban,name,motorNo,boatNo,tenjiT,shinnyu,st,raceTime
260630,24,1,01,4,4027,松　江　　秀　徳,79,68,6.92,4,0.21,1.50.9
260630,24,1,02,1,3434,松　尾　　宣　邦,15,63,6.90,1,0.20,1.52.0
260630,24,1,03,2,5312,川　辺　　郭　人,66,61,6.89,2,0.20,1.53.6
260630,24,1,04,6,5443,西　村　　仁　吾,78,30,6.90,6,0.14,1.55.1
260630,24,1,05,3,3772,一　柳　　和　孝,81,44,6.94,3,0.30,
260630,24,1,06,5,3807,岡　部　　　　哲,67,23,6.88,5,0.22,
260630,24,2,01,5,4209,藤　田　　竜　弘,63,49,6.91,5,0.12,1.51.0
260630,24,2,02,1,4154,森　安　　弘　雅,19,46,6.95,1,0.11,1.52.6
260630,24,2,03,4,3875,廣　中　　良　一,41,71,6.89,4,0.06,1.53.6
260630,24,2,04,3,3863,海老澤　　泰　行,32,84,6.92,3,0.10,1.54.9
260630,24,2,05,2,5098,大　江　　　　純,72,64,6.93,2,0.08,
260630,24,2,06,6,5457,山　田　　陽　翔,12,53,6.93,6,0.12,
260630,24,3,01,1,3535,渡　　　　修　平,24,47,6.84,1,0.17,1.51.4
260630,24,3,02,3,4079,出　畑　　孝　典,21,80,6.91,3,0.15,1.51.9
260630,24,3,03,4,4073,大　橋　　純一郎,45,56,6.89,4,0.15,1.52.6
260630,24,3,04,6,4608,荒　井　　翔　伍,61,37,6.89,6,0.14,1.55.3
260630,24,3,05,2,5266,石　田　　勇　斗,64,74,6.91,2,0.22,
260630,24,3,06,5,4724,吉　田　　祐　貴,62,52,6.89,5,0.15,
260630,24,4,01,1,4092,岡　部　　大　輔,71,32,6.95,1,0.15,1.50.4
260630,24,4,02,4,4822,百　武　　　　翔,28,38,6.94,4,0.19,1.51.0
260630,24,4,03,3,3964,宮　地　　博　士,30,22,6.94,3,0.20,1.52.6
260630,24,4,04,6,4164,岩　永　　節　也,22,36,6.86,5,0.18,1.53.3
260630,24,4,05,5,3898,平　田　　忠　則,48,39,6.86,6,0.15,
260630,24,4,06,2,5284,嘉手苅　　徹　哉,73,33,6.93,2,0.16,
260630,24,5,01,1,4640,山ノ内　　雅　人,76,58,6.87,1,0.11,1.50.7
260630,24,5,02,6,4497,桑　原　　　　悠,65,35,6.85,6,0.11,1.52.1
260630,24,5,03,3,3771,折　下　　寛　法,60,65,6.91,3,0.09,1.54.4
260630,24,5,04,2,5178,成　貞　　琳　平,70,48,6.91,2,0.16,1.54.9
260630,24,5,05,4,5312,川　辺　　郭　人,66,61,6.90,4,0.21,
260630,24,5,06,5,3859,多羅尾　　達　之,11,76,6.92,5,0.10,
260630,24,6,01,1,4411,沢　田　　昭　宏,68,67,6.87,1,0.14,1.55.4
260630,24,6,02,2,3807,岡　部　　　　哲,67,23,6.87,2,0.11,1.59.9
260630,24,6,03,4,5098,大　江　　　　純,72,64,6.92,4,0.05,2.02.4
260630,24,6,04,5,4027,松　江　　秀　徳,79,68,6.95,5,0.08,2.06.5
260630,24,6,05,6,4269,杉　山　　裕　也,14,45,6.87,6,0.07,
260630,24,6,S1,3,4375,照　屋　　厚　仁,20,51,6.85,3,0.07,
260630,24,7,01,1,4079,出　畑　　孝　典,21,80,6.87,1,0.09,1.51.0
260630,24,7,02,2,3863,海老澤　　泰　行,32,84,6.93,2,0.08,1.52.5
260630,24,7,03,5,5266,石　田　　勇　斗,64,74,6.89,5,0.12,1.53.6
260630,24,7,04,4,5089,前　田　　　　翔,80,86,6.92,4,0.19,1.55.0
260630,24,7,05,3,3381,滝　沢　　芳　行,75,19,6.88,3,0.07,
260630,24,7,06,6,5443,西　村　　仁　吾,78,30,6.92,6,0.09,
260630,24,8,01,1,4608,荒　井　　翔　伍,61,37,6.93,1,0.13,1.51.1
260630,24,8,02,2,4209,藤　田　　竜　弘,63,49,6.89,2,0.15,1.52.1
260630,24,8,03,6,3434,松　尾　　宣　邦,15,63,6.90,6,0.35,1.53.7
260630,24,8,04,3,4822,百　武　　　　翔,28,38,6.94,3,0.19,1.54.0
260630,24,8,05,5,3857,阿　波　　勝　哉,55,34,6.83,5,0.19,
260630,24,8,06,4,3558,山　本　　浩　次,13,43,6.89,4,0.21,
260630,24,9,01,1,3898,平　田　　忠　則,48,39,6.85,1,0.12,1.50.3
260630,24,9,02,2,3875,廣　中　　良　一,41,71,6.84,2,0.17,1.50.8
260630,24,9,03,3,4073,大　橋　　純一郎,45,56,6.87,3,0.18,1.52.5
260630,24,9,04,4,4640,山ノ内　　雅　人,76,58,6.89,4,0.23,1.53.7
260630,24,9,05,5,3772,一　柳　　和　孝,81,44,6.92,5,0.25,
260630,24,9,06,6,4154,森　安　　弘　雅,19,46,6.93,6,0.37,
260630,24,10,01,1,4269,杉　山　　裕　也,14,45,6.87,1,0.14,1.50.3
260630,24,10,02,2,3951,石　川　　吉　鎬,23,82,6.95,2,0.17,1.51.7
260630,24,10,03,3,3892,草　場　　康　幸,29,40,6.95,3,0.15,1.53.7
260630,24,10,04,4,4948,木　場　　悠　介,51,12,6.92,4,0.16,1.54.2
260630,24,10,04,5,4411,沢　田　　昭　宏,68,67,6.92,5,0.15,1.54.2
260630,24,10,06,6,3535,渡　　　　修　平,24,47,6.88,6,0.19,
260630,24,11,01,1,4497,桑　原　　　　悠,65,35,6.84,1,0.11,1.51.3
260630,24,11,02,3,5112,砂　長　　知　輝,16,50,6.89,3,0.16,1.52.9
260630,24,11,03,2,4064,原　田　　篤　志,69,75,6.91,2,0.14,1.53.5
260630,24,11,04,6,4092,岡　部　　大　輔,71,32,6.92,6,0.25,1.54.4
260630,24,11,05,5,5323,香　川　　陽　太,26,21,6.96,5,0.24,
260630,24,11,06,4,4331,三　好　　勇　人,25,41,6.95,4,0.18,
260630,24,12,01,1,4375,照　屋　　厚　仁,20,51,6.87,1,0.18,1.50.4
260630,24,12,02,5,3771,折　下　　寛　法,60,65,6.92,5,0.09,1.51.5
260630,24,12,03,2,4164,岩　永　　節　也,22,36,6.89,2,0.11,1.52.7
260630,24,12,04,6,5089,前　田　　　　翔,80,86,6.94,6,0.13,1.55.0
260630,24,12,05,3,5284,嘉手苅　　徹　哉,73,33,6.90,3,0.15,
260630,24,12,06,4,4724,吉　田　　祐　貴,62,52,6.92,4,0.12,
260630,23,1,01,1,4734,安河内　　　　将,11,25,6.76,1,0.09,1.50.2
260630,23,1,02,3,4680,後　藤　　美　翼,12,21,6.70,3,0.11,1.51.3
260630,23,1,03,5,4965,福　岡　　泉　水,54,28,6.78,5,0.08,1.52.8
260630,23,1,04,2,3303,渡　辺　　　　豊,23,56,6.77,2,0.19,1.52.9
260630,23,1,05,4,4071,古　賀　　千　晶,46,53,6.73,4,0.09,1.55.1
