hd,jcd,rno,chaku,waku,toban,name,motorNo,boatNo,tenjiT,shinnyu,st,raceTime
260721,23,1,01,1,4950,高　岡　　竜　也,5,57,6.77,1,0.19,1.51.2
260721,23,1,02,2,4978,山　田　　和　佐,4,28,6.82,2,0.23,1.52.8
260721,23,1,03,3,3370,坪　内　　　　実,33,17,6.73,3,0.18,1.54.6
260721,23,1,04,5,4085,荻　野　　裕　介,27,4,6.77,5,0.16,1.55.1
260721,23,1,05,6,5294,豊　田　　祥　生,55,22,6.77,6,0.15,1.57.3
260721,23,1,06,4,4343,村　岡　　　　賢,20,60,6.72,4,0.18,1.59.1
260721,23,2,01,1,4289,落　合　　直　子,21,35,6.72,1,0.17,1.50.0
260721,23,2,02,2,5015,高　橋　　竜　矢,25,47,6.85,2,0.19,1.52.4
260721,23,2,03,4,5310,土　屋　　　　蘭,12,54,6.76,5,0.11,1.53.4
260721,23,2,04,3,4905,土　井　　祥　伍,28,8,6.84,3,0.20,1.55.0
260721,23,2,05,5,4248,岡　本　　　　大,34,46,6.79,4,0.21,1.56.9
260721,23,2,06,6,4252,松　下　　哲　也,58,25,6.81,6,0.11,1.58.8
260721,23,3,01,1,4962,畑　　　　竜　生,31,14,6.69,1,0.14,1.50.2
260721,23,3,02,5,4092,岡　部　　大　輔,42,52,6.80,5,0.17,1.52.0
260721,23,3,03,4,5140,吉　田　　彩　乃,48,38,6.77,4,0.20,1.53.5
260721,23,3,04,3,4362,土　屋　　智　則,37,16,6.72,3,0.21,1.55.3
260721,23,3,05,2,4429,豊　田　　泰　洋,38,24,6.77,2,0.15,1.57.6
260721,23,3,06,6,5459,田　中　　き　ら,7,30,6.71,6,0.19,1.58.3
260721,23,4,01,2,5267,石　本　　裕　武,22,56,6.69,2,0.12,1.50.2
260721,23,4,02,1,3615,横　田　　　　茂,44,55,6.72,1,0.08,1.53.2
260721,23,4,03,4,4216,星　　　　栄　爾,10,42,6.74,4,0.11,1.54.2
260721,23,4,04,6,4936,戸　敷　　晃　美,18,31,6.69,6,0.08,1.55.3
260721,23,4,05,3,4254,川　島　　圭　司,19,40,6.77,3,0.11,1.55.5
260721,23,4,06,5,5395,日　高　　龍之介,26,39,6.76,5,0.09,1.57.0
260721,23,5,01,1,4497,桑　原　　　　悠,50,33,6.73,1,0.16,1.51.2
260721,23,5,02,3,4633,森　　　　智　也,47,5,6.77,3,0.15,1.52.6
260721,23,5,03,2,4368,山　口　　隆　史,14,21,6.70,2,0.26,1.53.5
260721,23,5,04,5,4330,奈　須　　啓　太,29,20,6.80,5,0.07,1.54.3
260721,23,5,05,4,5006,久保原　　秀　人,17,29,6.80,4,0.09,1.56.7
260721,23,5,06,6,5397,寺　田　　夢　生,35,27,6.71,6,0.09,1.59.6
260721,23,6,01,1,5276,大　島　　隆乃介,59,50,6.71,1,0.13,1.51.3
260721,23,6,02,2,5004,河　野　　主　樹,2,10,6.72,2,0.15,1.52.5
260721,23,6,03,3,4218,吉　川　　喜　継,11,37,6.76,3,0.18,1.53.9
260721,23,6,04,5,4909,薮　内　　瑞　希,16,45,6.73,5,0.21,1.54.7
260721,23,6,05,4,3998,冨　成　　謙　児,24,48,6.76,4,0.23,1.56.7
260721,23,6,06,6,3370,坪　内　　　　実,33,17,6.75,6,0.26,1.58.6
