hd,jcd,rno,chaku,waku,toban,name,motorNo,boatNo,tenjiT,shinnyu,st,raceTime
260131,23,1,01,1,4096,石　橋　　道　友,53,7,6.67,1,0.11,1.47.0
260131,23,1,02,2,5193,米　丸　　乃　絵,28,10,6.63,2,0.09,1.47.8
260131,23,1,03,4,5018,竹　下　　大　樹,58,4,6.64,4,0.11,1.50.3
260131,23,1,04,3,3898,平　田　　忠　則,22,19,6.64,3,0.09,1.50.4
260131,23,1,05,6,4351,里　岡　　右　貴,6,50,6.71,6,0.07,1.51.7
260131,23,1,06,5,4447,深　川　　麻奈美,56,2,6.72,5,0.17,1.54.0
260131,23,2,01,3,5142,常　住　　　　蓮,8,12,6.64,3,0.17,1.47.5
260131,23,2,02,5,5026,安河内　　　　健,42,21,6.66,5,0.18,1.48.4
260131,23,2,03,6,4932,新　開　　　　航,10,14,6.61,6,0.16,1.49.6
260131,23,2,04,2,4736,高　倉　　和　士,36,8,6.66,2,0.16,1.51.0
260131,23,2,05,1,3473,石　川　　真　二,24,43,6.73,1,0.12,1.52.2
260131,23,2,06,4,4938,小　芦　　るり華,25,38,6.56,4,0.18,1.52.5
260131,23,3,01,3,4352,下　條　　雄太郎,50,28,6.69,3,0.06,1.47.7
260131,23,3,02,6,5121,定　松　　勇　樹,20,31,6.64,4,0.04,1.49.4
260131,23,3,03,5,4949,横　田　　貴　満,49,59,6.69,6,0.11,1.50.9
260131,23,3,04,2,4350,篠　崎　　元　志,14,20,6.68,2,0.11,1.52.5
260131,23,3,05,4,4288,永　田　　啓　二,23,48,6.72,5,0.09,1.53.3
260131,23,3,06,1,4545,岡　村　　慶　太,33,44,6.66,1,0.16,1.54.9
260131,23,4,01,5,4433,川　野　　芽　唯,40,35,6.79,5,0.21,1.47.1
260131,23,4,02,4,3779,原　田　　幸　哉,48,37,6.70,4,0.13,1.49.6
260131,23,4,03,3,4136,江　夏　　　　満,2,45,6.74,3,0.16,1.50.3
260131,23,4,04,2,4193,郷　原　　章　平,21,18,6.67,2,0.16,1.52.1
260131,23,4,05,1,4994,山　本　　梨　菜,15,58,6.63,1,0.09,1.52.6
260131,23,4,06,6,4371,西　山　　貴　浩,19,27,6.70,6,0.21,1.53.3
260131,23,5,01,1,4364,池　永　　　　太,44,52,6.70,1,0.09,1.55.8
260131,23,5,02,2,4320,峰　　　　竜　太,34,55,6.64,2,0.16,1.58.7
260131,23,5,03,3,4155,長　野　　壮志郎,26,42,6.65,3,0.16,2.02.3
260131,23,5,04,4,4121,富　永　　修　一,37,23,6.71,4,0.12,2.04.2
260131,23,5,05,5,4485,楠　原　　正　剛,31,56,6.71,5,0.18,2.07.0
260131,23,5,S1,6,4174,赤　坂　　俊　輔,9,16,6.76,6,0.11,
260131,23,6,01,1,5193,米　丸　　乃　絵,28,10,6.75,2,0.13,1.47.7
260131,23,6,02,4,4477,篠　崎　　仁　志,45,6,6.80,4,0.24,1.49.0
260131,23,6,03,6,4287,今　井　　貴　士,13,60,6.80,6,0.21,1.50.7
260131,23,6,04,3,3473,石　川　　真　二,24,43,6.82,1,0.15,1.52.2
260131,23,6,05,2,4530,小　野　　生　奈,29,5,6.76,3,0.13,1.52.5
260131,23,6,06,5,4296,岡　崎　　恭　裕,35,17,6.82,5,0.19,1.53.2
260131,23,7,01,1,3898,平　田　　忠　則,22,19,6.73,1,0.06,1.47.2
260131,23,7,02,5,4531,武　富　　智　亮,16,36,6.64,5,0.05,1.48.9
260131,23,7,03,3,4590,渡　邉　　優　美,46,15,6.73,3,0.05,1.50.6
260131,23,7,04,4,4545,岡　村　　慶　太,33,44,6.74,4,0.05,1.51.0
260131,23,7,05,6,4556,竹　井　　奈　美,18,40,6.78,6,0.11,1.53.0
260131,23,7,06,2,3265,今　村　　暢　孝,43,22,6.87,2,0.05,1.53.5
260131,23,8,01,6,4294,古　賀　　繁　輝,4,41,6.69,6,0.01,1.48.7
260131,23,8,02,4,4371,西　山　　貴　浩,19,27,6.81,4,0.09,1.50.7
260131,23,8,03,2,4447,深　川　　麻奈美,56,2,6.80,2,0.12,1.51.6
260131,23,8,04,5,4522,古　澤　　光　紀,12,39,6.77,5,0.09,1.53.1
260131,23,8,05,3,4932,新　開　　　　航,10,14,6.66,3,0.13,1.53.6
260131,23,8,06,1,4288,永　田　　啓　二,23,48,6.76,1,0.15,1.54.7
260131,23,9,01,1,3623,深　川　　真　二,1,3,6.79,1,0.08,1.48.0
260131,23,9,02,2,4136,江　夏　　　　満,2,45,6.80,2,0.09,1.48.3
260131,23,9,03,4,4096,石　橋　　道　友,53,7,6.77,4,0.17,1.49.8
260131,23,9,04,3,4174,赤　坂　　俊　輔,9,16,6.77,3,0.11,1.51.5
260131,23,9,05,5,4938,小　芦　　るり華,25,38,6.67,5,0.11,1.52.6
260131,23,9,06,6,4679,植　田　　太　一,32,47,6.76,6,0.13,1.54.8
260131,23,10,01,1,5142,常　住　　　　蓮,8,12,6.72,1,0.03,1.47.3
260131,23,10,02,2,5018,竹　下　　大　樹,58,4,6.70,2,0.05,1.48.7
260131,23,10,03,3,4734,安河内　　　　将,5,1,6.80,3,0.13,1.49.7
260131,23,10,04,6,4350,篠　崎　　元　志,14,20,6.79,6,0.08,1.51.6
260131,23,10,05,5,4155,長　野　　壮志郎,26,42,6.78,5,0.09,1.52.7
260131,23,10,06,4,4193,郷　原　　章　平,21,18,6.79,4,0.11,1.53.2
260131,23,11,01,1,3779,原　田　　幸　哉,48,37,6.70,1,0.11,1.47.3
260131,23,11,02,3,4351,里　岡　　右　貴,6,50,6.79,3,0.09,1.48.2
260131,23,11,03,4,4320,峰　　　　竜　太,34,55,6.68,4,0.14,1.49.5
260131,23,11,04,5,4102,益　田　　啓　司,41,29,6.72,5,0.11,1.50.8
260131,23,11,05,2,4477,篠　崎　　仁　志,45,6,6.76,2,0.18,1.52.1
260131,23,11,06,6,4256,渡　辺　　浩　司,7,33,6.70,6,0.14,1.52.8
260131,23,12,01,4,4848,仲　谷　　颯　仁,59,46,6.74,4,0.11,1.46.7
260131,23,12,02,3,4445,宮　地　　元　輝,60,34,6.65,3,0.08,1.49.0
260131,23,12,03,1,5084,末　永　　和　也,27,11,6.68,1,0.09,1.49.9
260131,23,12,04,6,4566,塩　田　　北　斗,54,57,6.75,5,0.11,1.52.0
260131,23,12,05,5,4503,上　野　　真之介,11,24,6.75,6,0.08,1.52.9
260131,23,12,06,2,3783,瓜　生　　正　義,47,13,6.69,2,0.21,1.53.0
260131,22,1,01,1,4512,高　野　　哲　史,24,151,6.81,1,0.25,1.49.1
260131,22,1,02,2,3871,池　田　　紫　乃,36,171,6.72,2,0.28,1.50.1
260131,22,1,03,5,5258,仲　本　　　　舜,61,121,6.77,5,0.27,1.50.4
260131,22,1,04,3,3807,岡　部　　　　哲,73,114,6.78,3,0.26,1.52.1
260131,22,1,05,4,5156,坂　野　　さくら,63,116,6.80,4,0.28,
